FR<color=blue><linestyle=dashed>,DY<color=green><linestyle=dashed>,PRP<color=lime><linestyle=dashed>,HS<color=red><linestyle=dashed>,HZ<color=red>,Hybrid1<color=purple>,Hybrid2<color=orchid>
inf,inf,396,419,447,401,483
2044,1730,454,486,364,488,450
2388,2086,415,435,405,409,462
1501,inf,365,433,419,307,345
2016,1329,357,533,501,433,438
1051,1008,449,375,355,494,419
inf,2066,430,407,360,477,528
1033,1059,507,392,449,513,592
1261,inf,417,498,497,451,498
1138,inf,568,328,398,405,353
1055,inf,440,399,449,350,376
inf,2285,436,419,453,481,468
inf,2068,415,360,443,441,435
2401,2063,367,470,364,397,310
1341,1483,497,427,472,358,437
968,1506,377,376,450,445,477
1002,1255,396,441,410,409,353
1364,inf,448,585,469,401,468
557,515,1095,490,387,392,378
793,1399,379,488,517,458,490
1213,inf,461,681,436,459,566
1235,inf,561,344,455,394,672
inf,1733,398,377,366,506,458
2618,1655,426,449,372,434,386
388,1180,429,467,495,342,340
inf,2286,490,403,426,408,436
1878,inf,447,361,427,381,519
843,1076,406,450,371,358,574
inf,inf,451,428,430,448,536
637,inf,485,467,484,452,393
923,596,478,392,346,393,380
1312,396,558,442,437,366,367
inf,1709,335,444,442,362,473
inf,1596,395,449,522,355,354
1337,inf,417,364,760,410,328
2115,1700,525,400,467,339,462
inf,1296,422,488,595,414,493
532,inf,461,431,409,416,324
1313,1241,411,433,475,378,522
1213,1645,522,436,361,338,651
980,2350,458,475,687,426,370
1712,581,456,371,353,400,584
1663,875,429,454,418,498,346
847,2330,370,364,387,470,2323
2153,1557,389,359,332,366,348
1205,1016,630,370,378,443,515
1993,inf,514,408,441,344,530
1058,2452,419,344,499,405,398
1370,1558,477,428,432,2276,543
2680,1549,463,469,391,385,470
1014,1525,494,818,562,406,594
1982,inf,509,338,421,317,367
1157,732,510,551,435,487,489
inf,inf,417,428,317,467,801
1633,1345,472,365,406,392,508
1560,inf,399,486,498,395,403
570,2418,382,365,434,319,415
1220,inf,439,375,359,468,419
905,inf,605,328,564,467,412
825,inf,628,442,462,386,529
1950,1250,621,502,835,316,459
913,1124,495,409,392,397,618
846,1818,373,428,427,538,459
771,inf,401,353,512,544,429
845,461,478,521,518,323,538
1455,1630,563,352,435,433,494
inf,1614,393,451,943,399,595
954,inf,569,418,491,378,441
1749,inf,554,409,490,383,518
1919,1874,526,384,521,421,439
inf,inf,393,414,597,391,431
544,inf,533,417,514,343,530
inf,1688,441,935,428,440,500
1165,inf,593,369,397,307,624
1405,1142,675,254,372,462,489
inf,inf,448,335,435,384,409
1034,936,452,453,387,368,427
2609,650,587,407,418,395,430
493,626,660,443,485,428,438
357,590,439,469,411,415,476
