FR,DY,PRP,HS,HZ,Hybrid1,Hybrid2
1564,inf,2101,858,988,874,inf
1333,1674,1793,793,1117,673,inf
2306,inf,inf,1431,2552,1473,inf
2211,1208,inf,1619,1419,1171,inf
1592,1302,inf,1323,1261,1126,inf
2207,2140,inf,1440,2115,1008,inf
1314,1036,2327,1077,1308,909,inf
1871,inf,2712,1741,1766,952,inf
1795,2007,inf,inf,1531,877,inf
1252,inf,2606,918,1257,870,inf
1751,inf,inf,inf,2033,1312,inf
1368,756,inf,986,1728,807,inf
inf,2268,inf,1539,2027,1144,inf
2464,2333,inf,1377,1895,1582,inf
1439,2030,2176,835,1121,786,2705
1680,1393,inf,1085,1661,1526,inf
2551,1323,inf,1645,2581,1718,inf
2632,inf,inf,1550,2008,1643,inf
1336,2061,2510,1333,1323,871,inf
1593,1354,inf,1147,1135,899,2593
1113,1206,1751,1145,1456,847,inf
2604,1305,inf,1436,1627,917,inf
1613,1390,inf,1217,1459,1109,inf
946,1389,inf,689,1251,636,1742
1714,2254,2530,915,1345,1333,inf
2699,inf,inf,inf,inf,2107,inf
1193,1698,2574,896,1314,682,inf
inf,1723,inf,1649,2198,1904,inf
inf,1322,inf,1299,2168,1039,inf
1688,1746,2495,937,1526,1005,inf
inf,908,2427,1005,1441,762,inf
1566,1594,inf,inf,1689,1240,inf
1449,inf,inf,1213,1841,1122,inf
1643,1442,1981,1086,1571,886,inf
1867,inf,2452,inf,1439,1140,inf
2281,inf,inf,1449,2416,1139,inf
1407,747,1990,755,1053,707,2687
1687,1184,inf,1218,1520,894,inf
1814,1070,inf,inf,1694,1117,inf
1893,1568,inf,inf,1890,1622,inf
1677,850,inf,810,1229,652,inf
inf,1359,inf,inf,1739,741,inf
986,915,2063,748,1204,501,1831
1921,2473,inf,1344,1318,1553,inf
1047,1045,2551,872,958,743,inf
1332,2669,2574,1028,1090,908,inf
1155,785,inf,892,1506,872,2563
1261,1278,inf,929,1288,1126,inf
2803,inf,inf,1822,inf,2036,inf
inf,2649,2737,1425,1415,809,inf
2460,1829,inf,1538,2785,1168,inf
1639,858,inf,1148,1346,942,inf
inf,977,inf,902,981,776,inf
inf,1366,inf,934,1149,863,inf
1796,1129,inf,1133,1108,905,inf
1179,2022,inf,938,769,649,1943
1945,inf,inf,inf,1568,1125,inf
1065,2671,2509,724,1040,686,inf
1729,987,inf,962,1088,1093,inf
2961,1760,inf,2054,2164,1436,inf
1553,671,inf,1089,1127,860,inf
1098,860,2625,inf,1412,699,inf
1329,796,inf,inf,1006,852,2900
1344,1639,inf,1408,1471,753,inf
